precision	recall	threshold	method
3.72895802259	100.0	0.0	fathmm_noncoding
3.72895802259	100.0	0.01	fathmm_noncoding
3.72922290098	100.0	0.02	fathmm_noncoding
3.72975277067	100.0	0.03	fathmm_noncoding
3.73306787073	100.0	0.04	fathmm_noncoding
3.73695272701	99.9047619048	0.05	fathmm_noncoding
3.74807767963	99.8095238095	0.06	fathmm_noncoding
3.76272527789	99.619047619	0.07	fathmm_noncoding
3.7806292591	99.3333333333	0.08	fathmm_noncoding
3.81081377897	99.1428571429	0.09	fathmm_noncoding
3.84815007044	98.8571428571	0.1	fathmm_noncoding
3.87710589651	98.1904761905	0.11	fathmm_noncoding
3.91557051086	97.5238095238	0.12	fathmm_noncoding
3.95746504109	96.7619047619	0.13	fathmm_noncoding
4.01528114927	96.0952380952	0.14	fathmm_noncoding
4.09832712994	95.4285714286	0.15	fathmm_noncoding
4.15876627481	94.0	0.16	fathmm_noncoding
4.24994556934	92.9523809524	0.17	fathmm_noncoding
4.35390723696	91.9047619048	0.18	fathmm_noncoding
4.46274032839	90.8571428571	0.19	fathmm_noncoding
4.55910852713	89.619047619	0.2	fathmm_noncoding
4.67270896274	88.380952381	0.21	fathmm_noncoding
4.7447541497	86.5714285714	0.22	fathmm_noncoding
4.85342547104	85.619047619	0.23	fathmm_noncoding
4.9384787472	84.0952380952	0.24	fathmm_noncoding
5.04782759018	83.4285714286	0.25	fathmm_noncoding
5.10059171598	82.0952380952	0.26	fathmm_noncoding
5.18644479534	81.3333333333	0.27	fathmm_noncoding
5.23966019718	80.4761904762	0.28	fathmm_noncoding
5.2904040404	79.8095238095	0.29	fathmm_noncoding
5.3383747757	79.3333333333	0.3	fathmm_noncoding
5.37139150178	78.8571428571	0.31	fathmm_noncoding
5.38501902138	78.1904761905	0.32	fathmm_noncoding
5.40397350993	77.7142857143	0.33	fathmm_noncoding
5.41842263697	77.1428571429	0.34	fathmm_noncoding
5.42855216131	76.6666666667	0.35	fathmm_noncoding
5.44208454909	76.380952381	0.36	fathmm_noncoding
5.45119202131	76.0	0.37	fathmm_noncoding
5.44992792916	75.619047619	0.38	fathmm_noncoding
5.47273982057	75.5238095238	0.39	fathmm_noncoding
5.46777546778	75.1428571429	0.4	fathmm_noncoding
5.4829742877	75.1428571429	0.41	fathmm_noncoding
5.48767716261	74.8571428571	0.42	fathmm_noncoding
5.50028026906	74.7619047619	0.43	fathmm_noncoding
5.49929676512	74.4761904762	0.44	fathmm_noncoding
5.51675485009	74.4761904762	0.45	fathmm_noncoding
5.52056054922	74.2857142857	0.46	fathmm_noncoding
5.51136363636	73.9047619048	0.47	fathmm_noncoding
5.52627830793	73.9047619048	0.48	fathmm_noncoding
5.53413310483	73.8095238095	0.49	fathmm_noncoding
5.53091013165	73.619047619	0.5	fathmm_noncoding
5.5288633919	73.4285714286	0.51	fathmm_noncoding
5.53280160954	73.3333333333	0.52	fathmm_noncoding
5.54595217517	73.3333333333	0.53	fathmm_noncoding
5.55916540322	73.3333333333	0.54	fathmm_noncoding
5.57002314815	73.3333333333	0.55	fathmm_noncoding
5.57731360603	73.2380952381	0.56	fathmm_noncoding
5.56040122111	72.8571428571	0.57	fathmm_noncoding
5.54583879901	72.4761904762	0.58	fathmm_noncoding
5.54500292227	72.2857142857	0.59	fathmm_noncoding
5.54538129075	72.0952380952	0.6	fathmm_noncoding
5.52863436123	71.7142857143	0.61	fathmm_noncoding
5.53307335737	71.619047619	0.62	fathmm_noncoding
5.53957365199	71.5238095238	0.63	fathmm_noncoding
5.54815801154	71.4285714286	0.64	fathmm_noncoding
5.55102645816	71.3333333333	0.65	fathmm_noncoding
5.56546292168	71.3333333333	0.66	fathmm_noncoding
5.57044980637	71.2380952381	0.67	fathmm_noncoding
5.58625840179	71.2380952381	0.68	fathmm_noncoding
5.5934107076	71.1428571429	0.69	fathmm_noncoding
5.60228296786	71.0476190476	0.7	fathmm_noncoding
5.61662400241	71.0476190476	0.71	fathmm_noncoding
5.60543191249	70.7619047619	0.72	fathmm_noncoding
5.6206974809	70.7619047619	0.73	fathmm_noncoding
5.63016920859	70.6666666667	0.74	fathmm_noncoding
5.62490485614	70.380952381	0.75	fathmm_noncoding
5.63186813187	70.2857142857	0.76	fathmm_noncoding
5.63294045615	70.0952380952	0.77	fathmm_noncoding
5.64342751843	70.0	0.78	fathmm_noncoding
5.65877727238	69.9047619048	0.79	fathmm_noncoding
5.65993968917	69.7142857143	0.8	fathmm_noncoding
5.64353361279	69.2380952381	0.81	fathmm_noncoding
5.66346828926	69.1428571429	0.82	fathmm_noncoding
5.65445847385	68.6666666667	0.83	fathmm_noncoding
5.67258382643	68.4761904762	0.84	fathmm_noncoding
5.69363932343	68.2857142857	0.85	fathmm_noncoding
5.69711538462	67.7142857143	0.86	fathmm_noncoding
5.7131280389	67.1428571429	0.87	fathmm_noncoding
5.68712611653	66.0952380952	0.88	fathmm_noncoding
5.70029870561	65.4285714286	0.89	fathmm_noncoding
5.75082578132	64.6666666667	0.9	fathmm_noncoding
5.836373111	64.0	0.91	fathmm_noncoding
5.87392550143	62.4761904762	0.92	fathmm_noncoding
5.9042652263	60.380952381	0.93	fathmm_noncoding
5.9870866758	58.2857142857	0.94	fathmm_noncoding
5.98558445628	54.5714285714	0.95	fathmm_noncoding
6.06943150047	49.619047619	0.96	fathmm_noncoding
6.35854743792	42.1904761905	0.97	fathmm_noncoding
6.84677253042	31.619047619	0.98	fathmm_noncoding
6.8317677199	15.2380952381	0.99	fathmm_noncoding
	0.0	1.0	fathmm_noncoding
3.72895802259	100.0	0.0	fathmm_coding
3.94569857324	97.7142857143	0.01	fathmm_coding
4.13675781088	94.9523809524	0.02	fathmm_coding
4.33740288568	93.0476190476	0.03	fathmm_coding
4.46466257093	90.6666666667	0.04	fathmm_coding
4.61508054156	88.9523809524	0.05	fathmm_coding
4.73516075845	87.5238095238	0.06	fathmm_coding
4.84926510031	86.0952380952	0.07	fathmm_coding
4.97888419649	85.3333333333	0.08	fathmm_coding
5.04563457896	83.7142857143	0.09	fathmm_coding
5.13819985826	82.8571428571	0.1	fathmm_coding
5.22071307301	82.0	0.11	fathmm_coding
5.30923994039	81.4285714286	0.12	fathmm_coding
5.3976912343	81.0476190476	0.13	fathmm_coding
5.46147880041	80.4761904762	0.14	fathmm_coding
5.53180293363	80.0952380952	0.15	fathmm_coding
5.55555555556	79.2380952381	0.16	fathmm_coding
5.60075942501	78.6666666667	0.17	fathmm_coding
5.65053209749	78.380952381	0.18	fathmm_coding
5.69580638431	78.0	0.19	fathmm_coding
5.70403713602	77.2380952381	0.2	fathmm_coding
5.71103849979	76.5714285714	0.21	fathmm_coding
5.7415239051	76.2857142857	0.22	fathmm_coding
5.75435552664	75.8095238095	0.23	fathmm_coding
5.77764808871	75.4285714286	0.24	fathmm_coding
5.81087052585	75.1428571429	0.25	fathmm_coding
5.84690917206	74.8571428571	0.26	fathmm_coding
5.86600570828	74.380952381	0.27	fathmm_coding
5.84631674482	73.619047619	0.28	fathmm_coding
5.86217411191	73.2380952381	0.29	fathmm_coding
5.89590050668	73.1428571429	0.3	fathmm_coding
5.89462299135	72.6666666667	0.31	fathmm_coding
5.89699704372	72.1904761905	0.32	fathmm_coding
5.89294099233	71.7142857143	0.33	fathmm_coding
5.90733894439	71.5238095238	0.34	fathmm_coding
5.9093426153	71.1428571429	0.35	fathmm_coding
5.91278051886	70.7619047619	0.36	fathmm_coding
5.94122828089	70.6666666667	0.37	fathmm_coding
5.96330275229	70.5714285714	0.38	fathmm_coding
5.98574437065	70.380952381	0.39	fathmm_coding
5.98924380704	70.0	0.4	fathmm_coding
5.98115526424	69.5238095238	0.41	fathmm_coding
5.97593142104	69.0476190476	0.42	fathmm_coding
5.97695432314	68.6666666667	0.43	fathmm_coding
5.98932265599	68.380952381	0.44	fathmm_coding
6.01326950533	68.1904761905	0.45	fathmm_coding
6.00945307225	67.8095238095	0.46	fathmm_coding
6.01069700314	67.4285714286	0.47	fathmm_coding
6.03470382084	67.2380952381	0.48	fathmm_coding
6.05174933379	67.0476190476	0.49	fathmm_coding
6.06086806156	66.7619047619	0.5	fathmm_coding
6.08061153579	66.6666666667	0.51	fathmm_coding
6.0703991615	66.1904761905	0.52	fathmm_coding
6.08137797698	65.9047619048	0.53	fathmm_coding
6.088185915	65.619047619	0.54	fathmm_coding
6.11392517551	65.5238095238	0.55	fathmm_coding
6.14600107354	65.4285714286	0.56	fathmm_coding
6.13861386139	64.9523809524	0.57	fathmm_coding
6.1564965092	64.6666666667	0.58	fathmm_coding
6.15412710007	64.1904761905	0.59	fathmm_coding
6.15978670589	63.8095238095	0.6	fathmm_coding
6.18985936343	63.7142857143	0.61	fathmm_coding
6.17490919251	63.1428571429	0.62	fathmm_coding
6.15355664283	62.2857142857	0.63	fathmm_coding
6.12921561197	61.619047619	0.64	fathmm_coding
6.13315528424	61.2380952381	0.65	fathmm_coding
6.14051973051	60.7619047619	0.66	fathmm_coding
6.15160349854	60.2857142857	0.67	fathmm_coding
6.12224842767	59.3333333333	0.68	fathmm_coding
6.17431010522	59.2380952381	0.69	fathmm_coding
6.22493985565	59.1428571429	0.7	fathmm_coding
6.24176714966	58.6666666667	0.71	fathmm_coding
6.26152900184	58.1904761905	0.72	fathmm_coding
6.26813095731	57.619047619	0.73	fathmm_coding
6.28541448059	57.0476190476	0.74	fathmm_coding
6.31657435023	56.4761904762	0.75	fathmm_coding
6.37032230154	56.0952380952	0.76	fathmm_coding
6.37362637363	55.2380952381	0.77	fathmm_coding
6.38345444382	54.380952381	0.78	fathmm_coding
6.39097744361	53.4285714286	0.79	fathmm_coding
6.4115942029	52.6666666667	0.8	fathmm_coding
6.43751476494	51.9047619048	0.81	fathmm_coding
6.51044812175	51.3333333333	0.82	fathmm_coding
6.56934306569	50.5714285714	0.83	fathmm_coding
6.60485202591	49.5238095238	0.84	fathmm_coding
6.65971588688	48.6666666667	0.85	fathmm_coding
6.72212531866	47.7142857143	0.86	fathmm_coding
6.81786751487	46.9523809524	0.87	fathmm_coding
6.85068649886	45.619047619	0.88	fathmm_coding
6.87759952466	44.0952380952	0.89	fathmm_coding
6.90568978956	42.1904761905	0.9	fathmm_coding
6.90499510284	40.2857142857	0.91	fathmm_coding
6.87036078025	37.9047619048	0.92	fathmm_coding
7.00719159137	36.1904761905	0.93	fathmm_coding
7.12	33.9047619048	0.94	fathmm_coding
7.25663716814	31.2380952381	0.95	fathmm_coding
7.40367665575	28.0	0.96	fathmm_coding
7.0842201277	22.1904761905	0.97	fathmm_coding
6.9262295082	16.0952380952	0.98	fathmm_coding
7.60330578512	8.7619047619	0.99	fathmm_coding
	0.0	1.0	fathmm_coding
3.72710492688	100.0	-3.648336	cadd
3.72750186375	100.0	-3.148336	cadd
3.72856077554	100.0	-2.648336	cadd
3.73200639773	100.0	-2.148336	cadd
3.7302011034	99.8095238095	-1.648336	cadd
3.74142367067	99.7142857143	-1.148336	cadd
3.78227444154	99.3333333333	-0.648336	cadd
3.99061032864	95.5238095238	-0.148336	cadd
4.75382932166	82.7619047619	0.351664	cadd
5.19805420431	71.2380952381	0.851664	cadd
5.47015886647	60.6666666667	1.351664	cadd
5.7334487235	50.4761904762	1.851664	cadd
5.80696836203	41.4285714286	2.351664	cadd
5.94710288947	37.0476190476	2.851664	cadd
6.22229798841	34.7619047619	3.351664	cadd
6.22969615899	31.0476190476	3.851664	cadd
6.22837370242	27.4285714286	4.351664	cadd
5.95941433342	22.0952380952	4.851664	cadd
5.42394014963	16.5714285714	5.351664	cadd
4.6247464503	10.8571428571	5.851664	cadd
4.66507177033	7.42857142857	6.351664	cadd
5.52813425469	5.33333333333	6.851664	cadd
7.24907063197	3.71428571429	7.351664	cadd
13.0801687764	2.95238095238	7.851664	cadd
28.8659793814	2.66666666667	8.351664	cadd
35.0	2.66666666667	8.851664	cadd
35.0649350649	2.57142857143	9.351664	cadd
34.6666666667	2.47619047619	9.851664	cadd
35.1351351351	2.47619047619	10.351664	cadd
36.1111111111	2.47619047619	10.851664	cadd
32.2580645161	1.90476190476	11.351664	cadd
30.3571428571	1.61904761905	11.851664	cadd
33.3333333333	1.61904761905	12.351664	cadd
34.8837209302	1.42857142857	12.851664	cadd
37.1428571429	1.2380952381	13.351664	cadd
37.5	0.857142857143	13.851664	cadd
21.4285714286	0.285714285714	14.351664	cadd
12.5	0.0952380952381	14.851664	cadd
33.3333333333	0.0952380952381	15.351664	cadd
0.0	0.0	15.851664	cadd
	0.0	16.351664	cadd
4.5177045177	3.52380952381	0.0	fitcons
4.5177045177	3.52380952381	0.01	fitcons
4.5177045177	3.52380952381	0.02	fitcons
4.5177045177	3.52380952381	0.03	fitcons
4.48484848485	3.52380952381	0.04	fitcons
4.54545454545	3.71428571429	0.05	fitcons
4.13074712644	10.9523809524	0.06	fitcons
3.7037037037	19.4285714286	0.07	fitcons
4.10680597881	26.9523809524	0.08	fitcons
3.89908256881	29.1428571429	0.09	fitcons
3.74309248254	34.1904761905	0.1	fitcons
3.75762345072	36.380952381	0.11	fitcons
3.76145921936	37.9047619048	0.12	fitcons
3.70267260579	38.0	0.13	fitcons
3.6876155268	38.0	0.14	fitcons
3.68659336598	38.0	0.15	fitcons
3.72595107513	40.7619047619	0.16	fitcons
3.86397484693	44.4761904762	0.17	fitcons
3.86397484693	44.4761904762	0.18	fitcons
3.86297977714	44.5714285714	0.19	fitcons
3.8626255971	44.6666666667	0.2	fitcons
3.87494858083	44.8571428571	0.21	fitcons
3.86540828888	44.8571428571	0.22	fitcons
3.86382280558	44.8571428571	0.23	fitcons
3.86346893673	44.9523809524	0.24	fitcons
3.86252045827	44.9523809524	0.25	fitcons
3.86813875186	47.0476190476	0.26	fitcons
3.90874406291	47.8095238095	0.27	fitcons
3.90509529366	47.8095238095	0.28	fitcons
3.90540748729	48.2857142857	0.29	fitcons
4.01415060284	52.9523809524	0.3	fitcons
4.01415060284	52.9523809524	0.31	fitcons
4.01415060284	52.9523809524	0.32	fitcons
4.01201458914	53.4285714286	0.33	fitcons
4.01201458914	53.4285714286	0.34	fitcons
4.01201458914	53.4285714286	0.35	fitcons
4.02335683259	53.8095238095	0.36	fitcons
4.01934979014	53.8095238095	0.37	fitcons
4.01677804635	53.8095238095	0.38	fitcons
4.01677804635	53.8095238095	0.39	fitcons
4.01677804635	53.8095238095	0.4	fitcons
4.0159215296	53.8095238095	0.41	fitcons
4.0159215296	53.8095238095	0.42	fitcons
4.04112017015	54.2857142857	0.43	fitcons
4.03968816442	54.2857142857	0.44	fitcons
4.03933965578	54.7619047619	0.45	fitcons
4.03933965578	54.7619047619	0.46	fitcons
4.03622069353	54.7619047619	0.47	fitcons
4.02943237561	54.7619047619	0.48	fitcons
4.04140951623	58.0	0.49	fitcons
4.03109891546	58.7619047619	0.5	fitcons
4.0232133542	58.7619047619	0.51	fitcons
4.00672095127	59.0476190476	0.52	fitcons
4.00206558224	59.0476190476	0.53	fitcons
4.02602422056	59.5238095238	0.54	fitcons
4.01765721963	59.8095238095	0.55	fitcons
4.04359218676	64.6666666667	0.56	fitcons
4.01743638077	64.9523809524	0.57	fitcons
4.00610902256	64.9523809524	0.58	fitcons
4.00210637177	65.1428571429	0.59	fitcons
4.00444288554	65.2380952381	0.6	fitcons
4.00279671386	65.4285714286	0.61	fitcons
3.99537088063	69.0476190476	0.62	fitcons
3.97358222804	69.3333333333	0.63	fitcons
3.89431968296	70.1904761905	0.64	fitcons
3.91440501044	71.4285714286	0.65	fitcons
3.89997941963	72.1904761905	0.66	fitcons
3.88911662226	72.2857142857	0.67	fitcons
3.93841569407	75.5238095238	0.68	fitcons
3.93841569407	75.5238095238	0.69	fitcons
3.91036906854	76.2857142857	0.7	fitcons
3.72683159653	89.2380952381	0.71	fitcons
3.7415765554	90.9523809524	0.72	fitcons
3.72928176796	92.5714285714	0.73	fitcons
3.71697910319	98.7619047619	0.74	fitcons
3.71822751417	99.3333333333	0.75	fitcons
3.73044096728	99.9047619048	0.76	fitcons
3.72699495488	99.9047619048	0.77	fitcons
3.72922290098	100.0	0.78	fitcons
3.72816361312	100.0	0.79	fitcons
3.72816361312	100.0	0.8	fitcons
3.72816361312	100.0	0.81	fitcons
3.72816361312	100.0	0.82	fitcons
3.72816361312	100.0	0.83	fitcons
3.72710492688	100.0	0.84	fitcons
3.72710492688	100.0	0.85	fitcons
3.72710492688	100.0	0.86	fitcons
3.72710492688	100.0	0.87	fitcons
3.72710492688	100.0	0.88	fitcons
3.72710492688	100.0	0.89	fitcons
3.72710492688	100.0	0.9	fitcons
3.72710492688	100.0	0.91	fitcons
3.72710492688	100.0	0.92	fitcons
3.72710492688	100.0	0.93	fitcons
3.72710492688	100.0	0.94	fitcons
3.72710492688	100.0	0.95	fitcons
3.72710492688	100.0	0.96	fitcons
3.72710492688	100.0	0.97	fitcons
3.72710492688	100.0	0.98	fitcons
3.72710492688	100.0	0.99	fitcons
3.72710492688	100.0	1.0	fitcons
3.72710492688	100.0	0.0	dann
3.72710492688	100.0	0.001	dann
3.72710492688	100.0	0.002	dann
3.72710492688	100.0	0.003	dann
3.72710492688	100.0	0.004	dann
3.72710492688	100.0	0.005	dann
3.72710492688	100.0	0.006	dann
3.72710492688	100.0	0.007	dann
