false_positive_rate	threshold	true_positive_rate	method
1.0	0.0	1.0	fathmm_noncoding
1.0	0.01	1.0	fathmm_noncoding
0.999926221042	0.02	1.0	fathmm_noncoding
0.999778663125	0.03	1.0	fathmm_noncoding
0.998856426147	0.04	1.0	fathmm_noncoding
0.996827504796	0.05	0.999047619048	fathmm_noncoding
0.992806551571	0.06	0.998095238095	fathmm_noncoding
0.986904234912	0.07	0.99619047619	fathmm_noncoding
0.979231223255	0.08	0.993333333333	fathmm_noncoding
0.969307953372	0.09	0.991428571429	fathmm_noncoding
0.956765530471	0.1	0.988571428571	fathmm_noncoding
0.942931975801	0.11	0.981904761905	fathmm_noncoding
0.926958831341	0.12	0.975238095238	fathmm_noncoding
0.909583886676	0.13	0.967619047619	fathmm_noncoding
0.889774236388	0.14	0.960952380952	fathmm_noncoding
0.86494761694	0.15	0.954285714286	fathmm_noncoding
0.839088092076	0.16	0.94	fathmm_noncoding
0.811162756382	0.17	0.929523809524	fathmm_noncoding
0.782020067877	0.18	0.919047619048	fathmm_noncoding
0.753393832079	0.19	0.908571428571	fathmm_noncoding
0.726685849196	0.2	0.89619047619	fathmm_noncoding
0.69839161871	0.21	0.88380952381	fathmm_noncoding
0.673196104471	0.22	0.865714285714	fathmm_noncoding
0.650140180021	0.23	0.85619047619	fathmm_noncoding
0.627010476612	0.24	0.840952380952	fathmm_noncoding
0.607864836949	0.25	0.834285714286	fathmm_noncoding
0.591633466135	0.26	0.820952380952	fathmm_noncoding
0.57591854803	0.27	0.813333333333	fathmm_noncoding
0.56374501992	0.28	0.804761904762	fathmm_noncoding
0.553415965767	0.29	0.798095238095	fathmm_noncoding
0.54489449609	0.3	0.793333333333	fathmm_noncoding
0.538106831932	0.31	0.788571428571	fathmm_noncoding
0.532130736314	0.32	0.781904761905	fathmm_noncoding
0.526929319758	0.33	0.777142857143	fathmm_noncoding
0.521580345286	0.34	0.771428571429	fathmm_noncoding
0.517338055187	0.35	0.766666666667	fathmm_noncoding
0.514054891545	0.36	0.76380952381	fathmm_noncoding
0.510587280508	0.37	0.76	fathmm_noncoding
0.508152574886	0.38	0.75619047619	fathmm_noncoding
0.505275195514	0.39	0.755238095238	fathmm_noncoding
0.503209384683	0.4	0.751428571429	fathmm_noncoding
0.501733805519	0.41	0.751428571429	fathmm_noncoding
0.499372878855	0.42	0.748571428571	fathmm_noncoding
0.497528404899	0.43	0.747619047619	fathmm_noncoding
0.495720820422	0.44	0.744761904762	fathmm_noncoding
0.494060793862	0.45	0.744761904762	fathmm_noncoding
0.49243765678	0.46	0.742857142857	fathmm_noncoding
0.49077763022	0.47	0.739047619048	fathmm_noncoding
0.489375830013	0.48	0.739047619048	fathmm_noncoding
0.488010919286	0.49	0.738095238095	fathmm_noncoding
0.487051792829	0.5	0.73619047619	fathmm_noncoding
0.485981997934	0.51	0.734285714286	fathmm_noncoding
0.484985981998	0.52	0.733333333333	fathmm_noncoding
0.483768629187	0.53	0.733333333333	fathmm_noncoding
0.482551276376	0.54	0.733333333333	fathmm_noncoding
0.48155526044	0.55	0.733333333333	fathmm_noncoding
0.480264128671	0.56	0.732380952381	fathmm_noncoding
0.479305002213	0.57	0.728571428571	fathmm_noncoding
0.478124538882	0.58	0.724761904762	fathmm_noncoding
0.47694407555	0.59	0.722857142857	fathmm_noncoding
0.47565294378	0.6	0.720952380952	fathmm_noncoding
0.474656927844	0.61	0.717142857143	fathmm_noncoding
0.473624022429	0.62	0.71619047619	fathmm_noncoding
0.472406669618	0.63	0.715238095238	fathmm_noncoding
0.471004869411	0.64	0.714285714286	fathmm_noncoding
0.470119521912	0.65	0.713333333333	fathmm_noncoding
0.468828390143	0.66	0.713333333333	fathmm_noncoding
0.467758595249	0.67	0.712380952381	fathmm_noncoding
0.466356795042	0.68	0.712380952381	fathmm_noncoding
0.465102552752	0.69	0.711428571429	fathmm_noncoding
0.463700752545	0.7	0.710476190476	fathmm_noncoding
0.462446510255	0.71	0.710476190476	fathmm_noncoding
0.461561162756	0.72	0.707619047619	fathmm_noncoding
0.460233141508	0.73	0.707619047619	fathmm_noncoding
0.458794451822	0.74	0.706666666667	fathmm_noncoding
0.457392651616	0.75	0.70380952381	fathmm_noncoding
0.456175298805	0.76	0.702857142857	fathmm_noncoding
0.454847277556	0.77	0.700952380952	fathmm_noncoding
0.453334808912	0.78	0.7	fathmm_noncoding
0.451416555998	0.79	0.699047619048	fathmm_noncoding
0.45008853475	0.8	0.697142857143	fathmm_noncoding
0.44839161871	0.81	0.692380952381	fathmm_noncoding
0.446104471005	0.82	0.691428571429	fathmm_noncoding
0.44378043382	0.83	0.686666666667	fathmm_noncoding
0.441050612365	0.84	0.684761904762	fathmm_noncoding
0.438099454036	0.85	0.682857142857	fathmm_noncoding
0.43415227977	0.86	0.677142857143	fathmm_noncoding
0.429209089568	0.87	0.671428571429	fathmm_noncoding
0.424561015198	0.88	0.660952380952	fathmm_noncoding
0.419248930205	0.89	0.654285714286	fathmm_noncoding
0.410506123654	0.9	0.646666666667	fathmm_noncoding
0.399955732625	0.91	0.64	fathmm_noncoding
0.387782204515	0.92	0.624761904762	fathmm_noncoding
0.372731297034	0.93	0.60380952381	fathmm_noncoding
0.354507894349	0.94	0.582857142857	fathmm_noncoding
0.332005312085	0.95	0.545714285714	fathmm_noncoding
0.297439870149	0.96	0.49619047619	fathmm_noncoding
0.240666961782	0.97	0.421904761905	fathmm_noncoding
0.166629777188	0.98	0.31619047619	fathmm_noncoding
0.0804928434411	0.99	0.152380952381	fathmm_noncoding
